[17:40:15]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:15]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:15]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:15]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:15]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:15]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:15]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:15]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:15]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:15]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:15]UIScan - WindowSearch name : gimp_image_menu_open, type: PIXEL
[17:40:15]UIScan - WindowSearch FAILURE (not found) - name : gimp_image_menu_open, type: PIXEL
[17:40:15]ACTION - name : goToMenu, type: PRESS_KEY
[17:40:15]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:15]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:15]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:15]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:16]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:16]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:16]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:16]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:16]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:16]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:16]UIScan - WindowSearch name : gimp_image_menu_open, type: PIXEL
[17:40:16]UIScan - WindowSearch FAILURE (not found) - name : gimp_image_menu_open, type: PIXEL
[17:40:16]ACTION - name : goToMenu, type: PRESS_KEY
[17:40:16]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:16]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:16]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:16]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:16]ACTION - name : goToImageMenu, type: ARROW_RIGHT
[17:40:16]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:16]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
[17:40:16]ACTION - name : goToCanvasMenu, type: ARROW_BOTTOM
